service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2021/04/01 04:00:00+00,Rail,Red Line,1482972,1482972,22,1829137,1829137,30,434
2021/04/01 04:00:00+00,Bus,Silver Line,324681,324681,22,423432,423432,30,435
2021/04/01 04:00:00+00,The RIDE,The RIDE,53632,53632,22,62512,62512,30,436
2021/05/01 04:00:00+00,Rail,Blue Line,590264,590264,20,816744,816744,31,437
2021/05/01 04:00:00+00,Bus,Bus,3635163,3635163,20,4636156,4636156,31,438
2021/05/01 04:00:00+00,Commuter Rail,Commuter Rail,475908,475908,20,538070,538070,31,439
2021/05/01 04:00:00+00,Ferry,Ferry,13076,13076,20,13076,13076,31,440
2021/05/01 04:00:00+00,Rail,Green Line,1084391,1084391,20,1516471,1516471,31,441
2021/05/01 04:00:00+00,Rail,Orange Line,1318475,1318475,20,1775222,1775222,31,442
2021/05/01 04:00:00+00,Rail,Red Line,1558519,1558519,20,2084202,2084202,31,443
2021/05/01 04:00:00+00,Bus,Silver Line,348164,348164,20,476610,476610,31,444
2021/05/01 04:00:00+00,The RIDE,The RIDE,52431,52431,20,64259,64259,31,445
2021/06/01 04:00:00+00,Rail,Blue Line,722199,722199,22,919406,919406,30,446
2021/06/01 04:00:00+00,Bus,Bus,4129144,4129144,22,4954365,4954365,30,447
2021/06/01 04:00:00+00,Commuter Rail,Commuter Rail,615247,615247,22,682581,682581,30,448
2021/06/01 04:00:00+00,Ferry,Ferry,39089,39089,22,50814,50814,30,449
2021/06/01 04:00:00+00,Rail,Green Line,1352831,1352831,22,1724877,1724877,30,450
2019/02/01 05:00:00+00,Bus,Silver Line,655079,655079,19,827339,827339,28,451
2019/02/01 05:00:00+00,The RIDE,The RIDE,110010,110010,19,138199,138199,28,452
2019/03/01 05:00:00+00,Rail,Blue Line,1321537,1321537,21,1638864,1638864,31,453
2019/03/01 05:00:00+00,Bus,Bus,7384595,7384595,21,8690754,8690754,31,454
2019/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2558136,2558136,21,2628828,2628828,31,455
2019/03/01 05:00:00+00,Ferry,Ferry,115773,115773,21,102937,102937,31,456
2019/03/01 05:00:00+00,Rail,Green Line,3728685,3728685,21,4692764,4692764,31,457
2019/03/01 05:00:00+00,Rail,Orange Line,4150058,4150058,21,4996003,4996003,31,458
2019/03/01 05:00:00+00,Rail,Red Line,5248193,5248193,21,6256835,6256835,31,459
2019/03/01 05:00:00+00,Bus,Silver Line,786680,786680,21,995833,995833,31,460
2019/03/01 05:00:00+00,The RIDE,The RIDE,127197,127197,21,154294,154294,31,461
